"Svc","Vsl","Voy","Dir","Facility","Berth.LTA","LTD","Berth.ETA.ATA","ETD.ATD","Arr..Diff.","Dep..Diff","X","portTime","LportTime","arrDiff","depDiff","SeaT","PSeaT"
"SSX","ONB",46,"W","SKZ",2009-02-07 07:00:00,2009-02-07 15:00:00,2009-02-07 09:30:00,2009-02-07 15:20:00,"3","0",NA,5.83333333333333,8,2.5,0.333333333333333,6.21666666666667,6
"SSX","ONB",46,"W","YAT",2009-02-07 21:00:00,NA,2009-02-07 21:33:00,NA,"1","N/A",NA,NA,NA,0.55,NA,NA,NA
"SSX","OHB",48,"E","SKZ",2009-01-10 07:00:00,2009-01-10 15:00:00,2009-01-09 19:50:00,2009-01-10 03:05:00,"-11","-12",NA,7.25,8,-11.1666666666667,-11.9166666666667,11.8166666666667,6
"SSX","OHB",48,"E","YAT",2009-01-10 21:00:00,2009-01-11 14:00:00,2009-01-10 14:54:00,2009-01-11 14:13:00,"-6","0",NA,23.3166666666667,17,-6.1,0.216666666666667,6.81666666666667,5
"SSX","OHB",48,"E","HKG",2009-01-11 19:00:00,2009-01-12 10:00:00,2009-01-11 21:02:00,2009-01-12 08:03:00,"2","-2",NA,11.0166666666667,15,2.03333333333333,-1.95,286.283333333333,287
"SSX","OHB",48,"E","LGB",2009-01-24 09:00:00,2009-01-28 09:00:00,2009-01-24 06:20:00,2009-01-28 09:05:00,"-3","0",NA,98.75,96,-2.66666666666667,0.0833333333333333,312.716666666667,299
"SSX","OHB",48,"W","KHH",2009-02-09 20:00:00,2009-02-11 00:00:00,2009-02-10 09:48:00,2009-02-10 23:18:00,"14","-1",NA,13.5,28,13.8,-0.7,14.6166666666667,20
"SSX","OHB",48,"W","ZIA",2009-02-11 20:00:00,2009-02-12 16:00:00,2009-02-11 13:55:00,2009-02-12 04:14:00,"-6","-12",NA,14.3166666666667,20,-6.08333333333333,-11.7666666666667,27.0833333333333,16
"SSX","OHB",48,"W","HKG",2009-02-13 08:00:00,2009-02-13 21:00:00,2009-02-13 07:19:00,2009-02-13 17:41:00,"-1","-3",NA,10.3666666666667,13,-0.683333333333333,-3.31666666666667,2.31666666666667,10
"SSX","OHB",48,"W","SKZ",2009-02-14 07:00:00,2009-02-14 15:00:00,2009-02-13 20:00:00,2009-02-14 09:10:00,"-11","-6",NA,13.1666666666667,8,-11,-5.83333333333333,NA,NA
"SSX","OTJ",39,"E","SKZ",2009-01-17 07:00:00,2009-01-17 15:00:00,2009-01-16 17:35:00,2009-01-17 06:40:00,"-13","-8",NA,13.0833333333333,8,-13.4166666666667,-8.33333333333333,9.3,6
"SSX","OTJ",39,"E","YAT",2009-01-17 21:00:00,2009-01-18 14:00:00,2009-01-17 15:58:00,2009-01-19 00:50:00,"-5","11",NA,32.8666666666667,17,-5.03333333333333,10.8333333333333,5.46666666666667,5
"SSX","OTJ",39,"E","HKG",2009-01-18 19:00:00,2009-01-19 10:00:00,2009-01-19 06:18:00,2009-01-19 19:05:00,"11","9",NA,12.7833333333333,15,11.3,9.08333333333333,279.166666666667,287
"SSX","OTJ",39,"E","LGB",2009-01-31 09:00:00,2009-02-04 09:00:00,2009-01-31 10:15:00,2009-02-04 08:35:00,"1","0",NA,94.3333333333333,96,1.25,-0.416666666666667,317.666666666667,299
"SSX","OTJ",39,"W","KHH",2009-02-16 20:00:00,2009-02-18 00:00:00,2009-02-17 14:15:00,2009-02-17 23:08:00,"18","-1",NA,8.88333333333333,28,18.25,-0.866666666666667,14.2833333333333,20
"SSX","OTJ",39,"W","ZIA",2009-02-18 20:00:00,2009-02-19 16:00:00,2009-02-18 13:25:00,2009-02-19 03:43:00,"-7","-12",NA,14.3,20,-6.58333333333333,-12.2833333333333,27.35,16
"SSX","OTJ",39,"W","HKG",2009-02-20 08:00:00,2009-02-20 21:00:00,2009-02-20 07:04:00,2009-02-20 18:06:00,"-1","-3",NA,11.0333333333333,13,-0.933333333333333,-2.9,2.48333333333333,10
"SSX","OTJ",39,"W","SKZ",2009-02-21 07:00:00,2009-02-21 15:00:00,2009-02-20 20:35:00,2009-02-21 11:16:00,"-10","-4",NA,14.6833333333333,8,-10.4166666666667,-3.73333333333333,NA,NA
"SSX","OAS",21,"E","SKZ",2009-01-24 07:00:00,2009-01-24 15:00:00,2009-01-23 21:40:00,2009-01-24 11:55:00,"-9","-3",NA,14.25,8,-9.33333333333333,-3.08333333333333,6.58333333333333,6
"SSX","OAS",21,"E","YAT",2009-01-24 21:00:00,2009-01-25 14:00:00,2009-01-24 18:30:00,2009-01-25 23:01:00,"-3","9",NA,28.5166666666667,17,-2.5,9.01666666666667,5.36666666666667,5
"SSX","OAS",21,"E","HKG",2009-01-25 19:00:00,2009-01-26 10:00:00,2009-01-26 04:23:00,2009-01-26 16:27:00,"9","6",NA,12.0666666666667,15,9.38333333333333,6.45,278.466666666667,287
"SSX","OAS",21,"E","LGB",2009-02-07 09:00:00,2009-02-11 09:00:00,2009-02-07 06:55:00,2009-02-11 09:30:00,"-2","0",NA,98.5833333333333,96,-2.08333333333333,0.5,312.966666666667,299
"SSX","OAS",21,"W","KHH",2009-02-23 20:00:00,2009-02-25 00:00:00,2009-02-24 10:28:00,2009-02-24 21:29:00,"14","-3",NA,11.0166666666667,28,14.4666666666667,-2.51666666666667,15.8666666666667,20
"SSX","OAS",21,"W","ZIA",2009-02-25 20:00:00,2009-02-26 16:00:00,2009-02-25 13:21:00,2009-02-26 03:06:00,"-7","-13",NA,13.75,20,-6.65,-12.9,28.05,16
"SSX","OAS",21,"W","HKG",2009-02-27 08:00:00,2009-02-27 21:00:00,2009-02-27 07:09:00,2009-02-27 18:04:00,"-1","-3",NA,10.9166666666667,13,-0.85,-2.93333333333333,2.68333333333333,6
"SSX","OAS",21,"W","SKZ",2009-02-28 03:00:00,2009-02-28 10:00:00,2009-02-27 20:45:00,2009-02-28 06:10:00,"-6","-4",NA,9.41666666666667,7,-6.25,-3.83333333333333,NA,NA
"SSX","OEU",16,"E","SKZ",2009-01-31 07:00:00,2009-01-31 15:00:00,2009-01-30 22:54:00,2009-01-31 10:15:00,"-8","-5",NA,11.35,8,-8.1,-4.75,6.33333333333333,6
"SSX","OEU",16,"E","YAT",2009-01-31 21:00:00,2009-02-01 14:00:00,2009-01-31 16:35:00,2009-02-01 02:10:00,"-4","-12",NA,9.58333333333333,17,-4.41666666666667,-11.8333333333333,15.9833333333333,5
"SSX","OEU",16,"E","HKG",2009-02-01 19:00:00,2009-02-02 10:00:00,2009-02-01 18:09:00,2009-02-02 08:06:00,"-1","-2",NA,13.95,15,-0.85,-1.9,40.6,16
"SSX","OEU",16,"E","NIN",2009-02-03 02:00:00,2009-02-03 15:00:00,2009-02-04 00:42:00,2009-02-04 07:12:00,"23","16",NA,6.5,13,22.7,16.2,21.2,10
"SSX","OEU",16,"E","SHA",2009-02-04 01:00:00,2009-02-05 03:00:00,2009-02-05 04:24:00,2009-02-05 15:07:00,"27","12",NA,10.7166666666667,26,27.4,12.1166666666667,25.55,16
"SSX","OEU",16,"E","PUS",2009-02-05 19:00:00,2009-02-06 07:00:00,2009-02-06 16:40:00,2009-02-07 14:06:00,"22","31",NA,21.4333333333333,12,21.6666666666667,31.1,256.066666666667,194
"SSX","OEU",16,"E","LGB",2009-02-14 09:00:00,2009-02-18 09:00:00,2009-02-18 06:10:00,2009-02-21 19:55:00,"93","83",NA,85.75,96,93.1666666666667,82.9166666666667,397.5,299
"SSX","OEU",16,"W","KHH",2009-03-02 20:00:00,2009-03-04 00:00:00,2009-03-10 09:25:00,2009-03-11 03:09:00,"181","171",NA,17.7333333333333,28,181.416666666667,171.15,10.4166666666667,181
"SSX","OEU",16,"W","ZIA",2009-03-11 13:00:00,2009-03-12 16:00:00,2009-03-11 13:34:00,2009-03-12 07:19:00,"1","-9",NA,17.75,27,0.566666666666667,-8.68333333333333,23.7833333333333,16
"SSX","OEU",16,"W","HKG",2009-03-13 08:00:00,2009-03-13 21:00:00,2009-03-13 07:06:00,2009-03-13 17:38:00,"-1","-3",NA,10.5333333333333,13,-0.9,-3.36666666666667,2.7,10
"SSX","OEU",16,"W","SKZ",2009-03-14 07:00:00,2009-03-14 15:00:00,2009-03-13 20:20:00,2009-03-14 05:40:00,"-11","-9",NA,9.33333333333333,8,-10.6666666666667,-9.33333333333333,NA,NA
"SSX","OHB",49,"E","SKZ",2009-02-14 07:00:00,2009-02-14 15:00:00,2009-02-13 20:00:00,2009-02-14 09:10:00,"-11","-6",NA,13.1666666666667,8,-11,-5.83333333333333,11.2333333333333,6
